Date,EURGBP=X,EURUSD=X,GBPUSD=X,JPYUSD=X
2010-01-01,0.8895000219345093,1.4389938116073608,1.6132936477661133,0.010761945508420467
2010-01-04,0.8952000141143799,1.4423978328704834,1.6113698482513428,0.01081139501184225
2010-01-05,0.8981999754905701,1.4365959167480469,1.599078893661499,0.010918818414211273
2010-01-06,0.8988000154495239,1.4404033422470093,1.602384328842163,0.010827666148543358
2010-01-07,0.8985000252723694,1.4318032264709473,1.5933969020843506,0.010707784444093704
2010-01-08,0.8934999704360962,1.44110906124115,1.602410078048706,0.0107921427115798
2010-01-11,0.9003999829292297,1.4511260986328125,1.6112918853759766,0.010858706198632717
2010-01-12,0.8962000012397766,1.447659969329834,1.615169644355774,0.010979359038174152
2010-01-13,0.891700029373169,1.4523905515670776,1.628611445426941,0.010936970822513103
2010-01-14,0.8873999714851379,1.4499897956848145,1.6333998441696167,0.010956862941384315
2010-01-15,0.8830000162124634,1.4390974044799805,1.6269950866699219,0.011019283905625343
2010-01-18,0.8808000087738037,1.4406731128692627,1.63529634475708,0.011024750769138336
2010-01-19,0.8726000189781189,1.4281021356582642,1.6356706619262695,0.010965032503008842
2010-01-20,0.8654000163078308,1.4110342264175415,1.6298059225082397,0.010965874418616295
2010-01-21,0.8698999881744385,1.4097015857696533,1.620509147644043,0.01106280367821455
2010-01-22,0.8772000074386597,1.414107084274292,1.611006498336792,0.01113461796194315
2010-01-25,0.8705999851226807,1.4150075912475586,1.6250121593475342,0.011060111224651337
2010-01-26,0.871999979019165,1.4082324504852295,1.614700198173523,0.011156979016959667
2010-01-27,0.8669999837875366,1.4030951261520386,1.6178088188171387,0.011117287911474705
2010-01-28,0.8650000095367432,1.3968042135238647,1.614309310913086,0.011138586327433586
2010-01-29,0.8669999837875366,1.3866932392120361,1.5984909534454346,0.011077878065407276
2010-02-01,0.8729000091552734,1.3926994800567627,1.595252513885498,0.011018069460988045
2010-02-02,0.8736000061035156,1.3976240158081055,1.599206805229187,0.011058521457016468
2010-02-03,0.8730999827384949,1.3901052474975586,1.5920017957687378,0.0110083669424057
2010-02-04,0.871399998664856,1.3744947910308838,1.5769885778427124,0.011184430681169033
2010-02-05,0.8734999895095825,1.368007779121399,1.565802812576294,0.011208249256014824
2010-02-08,0.8766000270843506,1.3654673099517822,1.5576082468032837,0.011208249256014824
2010-02-09,0.878000020980835,1.378207802772522,1.5693906545639038,0.011139827780425549
2010-02-10,0.8806999921798706,1.3753266334533691,1.5612071752548218,0.011119759641587734
2010-02-11,0.8715999722480774,1.3681762218475342,1.5702037811279297,0.01113461796194315
2010-02-12,0.8659999966621399,1.363493800163269,1.5698094367980957,0.011117287911474705
2010-02-15,0.867900013923645,1.3603036403656006,1.5667105913162231,0.011104941368103027
2010-02-16,0.8715999722480774,1.3767088651657104,1.579005479812622,0.011081068776547909
2010-02-17,0.8676000237464905,1.3606922626495361,1.5682092905044556,0.010982976295053959
2010-02-18,0.8726999759674072,1.3461486101150513,1.5423054695129395,0.010872283950448036
2010-02-19,0.8790000081062317,1.3615074157714844,1.5464078187942505,0.010924185626208782
2010-02-22,0.8779000043869019,1.3605626821517944,1.548658847808838,0.010960705578327179
2010-02-23,0.8754000067710876,1.3527040481567383,1.5445923805236816,0.011091392487287521
2010-02-24,0.8781999945640564,1.354316234588623,1.5417109727859497,0.011076773516833782
2010-02-25,0.8878999948501587,1.3536012172698975,1.5243902206420898,0.011201972141861916
2010-02-26,0.8920999765396118,1.3631035089492798,1.523902416229248,0.011245938017964363
2010-03-01,0.9053999781608582,1.356208086013794,1.4978805780410767,0.011217049323022366
2010-03-02,0.9063000082969666,1.3620638847351074,1.5028102397918701,0.011268875561654568
2010-03-03,0.9072499871253967,1.3701633214950562,1.5103002786636353,0.011290504597127438
2010-03-04,0.9032999873161316,1.3584003448486328,1.50360107421875,0.01121579110622406
2010-03-05,0.8967999815940857,1.3628991842269897,1.5132943391799927,0.011084016412496567
2010-03-08,0.9049999713897705,1.3616927862167358,1.504189133644104,0.011075913906097412
2010-03-09,0.906000018119812,1.3606922626495361,1.5016368627548218,0.011112469248473644
2010-03-10,0.911300003528595,1.3643310070037842,1.4970060586929321,0.011053388006985188
2010-03-11,0.9079999923706055,1.3685319423675537,1.507204532623291,0.0110316826030612
2010-03-12,0.9050999879837036,1.376993179321289,1.5216069221496582,0.011044842191040516
2010-03-15,0.9083999991416931,1.3677457571029663,1.505434513092041,0.011071745306253433
2010-03-16,0.9035999774932861,1.3768794536590576,1.5236934423446655,0.01107542309910059
2010-03-17,0.8967999815940857,1.3738338947296143,1.5317922830581665,0.011061579920351505
2010-03-18,0.8924400210380554,1.361396312713623,1.5253669023513794,0.011052166111767292
2010-03-19,0.9009000062942505,1.353692889213562,1.5017945766448975,0.011047283187508583
2010-03-22,0.8978000283241272,1.356704831123352,1.5108022689819336,0.011069294065237045
2010-03-23,0.8963000178337097,1.3468012809753418,1.5021330118179321,0.01106610894203186
2010-03-24,0.894599974155426,1.3331022262573242,1.4898910522460938,0.010867911390960217
2010-03-25,0.8960000276565552,1.3307074308395386,1.4844944477081299,0.010809291154146194
2010-03-26,0.8997899889945984,1.3410038948059082,1.4898022413253784,0.01080999244004488
2010-03-29,0.8996999859809875,1.3481086492538452,1.498194694519043,0.01081197988241911
2010-03-30,0.8902000188827515,1.3424079418182373,1.5074089765548706,0.01077354047447443
2010-03-31,0.8895000219345093,1.3508037328720093,1.5183724164962769,0.0106929000467062
2010-04-01,0.8881000280380249,1.3584003448486328,1.5291922092437744,0.010655301623046398
